model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
REMIND 2.1,CEMICS_GDPgrowth_2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_HotellingConst_1p5,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,30390.1732,24503.891,17325.1795,10914.4032,5630.2963,414.156,-3403.6585,-6116.046,-9189.7604,-9823.1536,-9054.5774,-8578.5668
REMIND 2.1,CEMICS_HotellingConst_1p5,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_HotellingConst_2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,34776.7378,33540.777,28885.8318,23145.6494,17897.5182,13257.4056,9211.7484,5471.6149,-705.4212,-3400.8663,-3440,-3510.0034
REMIND 2.1,CEMICS_HotellingConst_2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_Linear_1p5,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,29486.2893,23202.3039,16489.748,10930.4824,6444.1099,2015.2271,-1183.7496,-3556.7986,-6986.8571,-8581.0967,-8810.0413,-9101.9047
REMIND 2.1,CEMICS_Linear_1p5,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_Linear_2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,34510.3102,32588.4469,26403.6991,20740.5849,16154.09,12533.8366,9525.268,6839.6763,2465.6172,-318.7691,-1737.954,-3049.9353
REMIND 2.1,CEMICS_Linear_2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_NPI,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,36976.1672,39600.9709,41726.7401,42887.9538,44491.3869,46277.5516,48054.3119,49860.9988,52800.4784,53708.8884,50408.1952,45388.5461
